code	symbol
0	Control
1057	11127402
1058	11127644
1059	111299
1060	11139125
1061	11140605
1062	11143173
1063	11143226
1064	11146222
1065	11148
1066	11149655
1067	11151363
1068	11152
1069	11152482
1070	11152667
1071	11154210
1072	11154476
1073	11154555
1074	11154925
1075	11156438
1076	11157
1077	11158353
1078	11158972
1079	11159621
1080	11161844
1081	11163
1082	11165622
1083	11167602
1084	11168203
1085	11169063
1086	11169170
1087	1117189
1088	1117196
1089	11173
1090	11174332
1091	11175137
1092	11175501
1093	11176403
1094	11178236
1095	11179
1096	11179267
1097	11179557
1098	11180124
1099	11180807
1100	11180808
1101	1118253
1102	11182729
1103	11184378
1104	11186453
1105	11186583
1106	11188409
1107	11190411
1108	11191883
1109	11192129
1110	11192346
1111	11193842
1112	11197479
1113	11198769
1114	11199678
1115	11199915
1116	11200344
1117	11201035
1118	11201568
1119	11201569
1120	11201705
1121	11203296
1122	11203363
1123	112072
1124	11207937
1125	11210285
1126	11210478
1127	11211051
1128	11211770
1129	11213350
1130	11213558
1131	11214940
1132	11216035
1133	11219195
1134	11219835
1135	11222830
1136	11222939
1137	11223290
1138	11224
1139	11224409
1140	11224574
1141	11224983
1142	11226090
1143	11226716
1144	11226834
1145	11228183
1146	11228693
1147	11229655
1148	1123
1149	11230
1150	11231381
1151	11232915
1152	11233873
1153	11234049
1154	11234052
1155	11236
1156	11236201
1157	11237632
1158	11237762
1159	11237860
1160	11238078
1161	11238147
1162	11242315
1163	11243536
1164	11243969
1165	11245456
1166	11246488
1167	112477
1168	11248490
1169	11249084
1170	11249248
1171	11249342
1172	11249539
1173	11249932
1174	112499905
1175	112499922
1176	112499943
1177	112499965
1178	112499966
1179	11250133
1180	11250647
1181	11251522
1182	11256587
1183	11256664
1184	11256720
1185	11257859
1186	11258014
1187	11258227
1188	11259583
1189	11260561
1190	1126109
1191	11263254
1192	11266244
1193	11269353
1194	11269418
1195	11270783
1196	11271637
1197	11271640
1198	11272219
1199	11273606
1200	11277418
1201	11279578
1202	11280933
1203	11282283
1204	11282832
1205	11285001
1206	11285002
1207	11285588
1208	11285791
1209	11285792
1210	11287153
1211	11287272
1212	11288934
1213	11289
1214	11289630
1215	11289917
1216	11290018
1217	11290503
1218	11292191
1219	11292488
1220	11292680
1221	11292933
1222	112939
1223	11294177
1224	11294368
1225	11294791
1226	11296282
1227	11296583
1228	1129704
1229	1130
1230	11301185
1231	11301655
1232	11302540
1233	11303165
1234	11304743
1235	11310
1236	11311503
1237	11313
1238	11313361
1239	1131343
1240	11313622
1241	11314197
1242	11314340
1243	11316919
1244	11316960
1245	11317348
1246	11317439
1247	11318905
1248	11319053
1249	11319217
1250	11325914
1251	11326167
1252	11326715
1253	11327430
1254	11328898
1255	11329481
1256	1133081
1257	1133083
1258	11333
1259	11337104
1260	11338033
1261	11338127
1262	11338509
1263	11338749
1264	11339118
1265	11340
1266	11340050
1267	11340230
1268	11340891
1269	11345983
1270	11346885
1271	11347895
1272	11349
1273	11349170
1274	1135
